obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
60664921,TESS,timeseries,tess2021039152502-s0035-0000000350299588-0205-s,Light curves,S,mast:TESS/product/tess2021039152502-s0035-0000000350299588-0205-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.24-20210305,G03251,tess2021039152502-s0035-0000000350299588-0205-s_lc.fits,1828800,60664921,PUBLIC,3,TESS
60760694,TESS,timeseries,tess2021065132309-s0036-0000000350299588-0207-s,Light curves,S,mast:TESS/product/tess2021065132309-s0036-0000000350299588-0207-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.27-20210403,G03251,tess2021065132309-s0036-0000000350299588-0207-s_lc.fits,1837440,60760694,PUBLIC,3,TESS
60837199,TESS,timeseries,tess2018206045859-s0001-0000000350299588-0120-s,Light curves,S,mast:TESS/product/tess2018206045859-s0001-0000000350299588-0120-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.10-20200904,G011250,tess2018206045859-s0001-0000000350299588-0120-s_lc.fits,2039040,60837199,PUBLIC,3,TESS
60875612,TESS,timeseries,tess2018234235059-s0002-0000000350299588-0121-s,Light curves,S,mast:TESS/product/tess2018234235059-s0002-0000000350299588-0121-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.11-20200915,G011250,tess2018234235059-s0002-0000000350299588-0121-s_lc.fits,2004480,60875612,PUBLIC,3,TESS
60906346,TESS,timeseries,tess2018263035959-s0003-0000000350299588-0123-s,Light curves,S,mast:TESS/product/tess2018263035959-s0003-0000000350299588-0123-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,G011250,tess2018263035959-s0003-0000000350299588-0123-s_lc.fits,1998720,60906346,PUBLIC,3,TESS
61066370,TESS,timeseries,tess2018292075959-s0004-0000000350299588-0124-s,Light curves,S,mast:TESS/product/tess2018292075959-s0004-0000000350299588-0124-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,G011250,tess2018292075959-s0004-0000000350299588-0124-s_lc.fits,1897920,61066370,PUBLIC,3,TESS
61231408,TESS,timeseries,tess2021091135823-s0037-0000000350299588-0208-s,Light curves,S,mast:TESS/product/tess2021091135823-s0037-0000000350299588-0208-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.32-20210604,G03251,tess2021091135823-s0037-0000000350299588-0208-s_lc.fits,1854720,61231408,PUBLIC,3,TESS
61543377,TESS,timeseries,tess2018319095959-s0005-0000000350299588-0125-s,Light curves,S,mast:TESS/product/tess2018319095959-s0005-0000000350299588-0125-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,G011250,tess2018319095959-s0005-0000000350299588-0125-s_lc.fits,1923840,61543377,PUBLIC,3,TESS
61589956,TESS,timeseries,tess2021118034608-s0038-0000000350299588-0209-s,Light curves,S,mast:TESS/product/tess2021118034608-s0038-0000000350299588-0209-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.35-20210626,G03251,tess2021118034608-s0038-0000000350299588-0209-s_lc.fits,1952640,61589956,PUBLIC,3,TESS
62002289,TESS,timeseries,tess2021146024351-s0039-0000000350299588-0210-s,Light curves,S,mast:TESS/product/tess2021146024351-s0039-0000000350299588-0210-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.35-20210626,G03251,tess2021146024351-s0039-0000000350299588-0210-s_lc.fits,2041920,62002289,PUBLIC,3,TESS
